nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Sorocaba,Ddm Sorocaba,2025,5,2025-05-26,01:30:00,Não Informado,Segunda-Feira,Casa,Jardim Altos Do Itavuvu,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-26,13:30:00,Não Informado,Segunda-Feira,Casa,Parque Vista Barbara,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-27,13:00:00,Não Informado,Terça-Feira,Casa,Jardim Guaiba,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-21,16:00:00,Não Informado,Quarta-Feira,Casa,Jardim Sao Conrado,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Votorantim,2025,5,2025-05-16,16:00:37,Não Informado,Sexta-Feira,Casa,Jardim Novo Mundo,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Votorantim,Ddm Votorantim,2025,5,2025-05-06,04:30:00,Não Informado,Terça-Feira,Casa,Jardim Clarice I,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,5,2025-05-08,08:00:00,Não Informado,Quinta-Feira,Via Pública,Vila Pedroso,Rua Anália Pereira,-23.57783008,-47.461224945,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,5,2025-05-16,14:00:14,Não Informado,Sexta-Feira,Casa,Jardim Europa,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,5,2025-05-21,21:00:00,Não Informado,Quarta-Feira,Casa,Vila Domingues,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,5,2025-05-28,20:00:00,Não Informado,Quarta-Feira,Casa,Jardim Tatiana,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Votorantim,2025,5,2025-05-29,11:40:29,Não Informado,Quinta-Feira,Casa,Jardim Tatiana,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,5,2025-05-15,,De Madrugada,Quinta-Feira,Casa,Jardim Santo Antônio Ii,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Votorantim,Ddm Votorantim,2025,5,2025-05-11,,A Tarde,Domingo,Casa,Jardim Paulista,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Furto (Art. 155),Furto - Outros
Votorantim,Ddm Votorantim,2025,5,2025-05-03,17:40:15,Não Informado,Sábado,Casa,Colonia Santa Monica,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,5,2025-05-19,15:00:58,Não Informado,Segunda-Feira,Casa,Jardim Maria Lucia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,5,2025-05-23,14:05:00,Não Informado,Sexta-Feira,Casa,Barra Funda,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Votorantim,Ddm Votorantim,2025,4,2025-04-22,20:30:00,Não Informado,Terça-Feira,Casa,Jardim Icatu,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Votorantim,Ddm Votorantim,2025,5,2025-05-10,13:00:00,Não Informado,Sábado,Casa,Vossoroca,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
