codigo_bo,nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Fc6153,Sorocaba,Ddm Sorocaba,2025,4,2025-04-07,09:20:00,Não Informado,Segunda-Feira,Casa,Jardim Luciana Maria,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fe3803,Sorocaba,Ddm Sorocaba,2025,4,2025-04-08,06:30:00,Não Informado,Terça-Feira,Casa,Jardim Sao Camilo,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ff9198,Sorocaba,Ddm Sorocaba,2025,4,2025-04-09,13:00:00,Não Informado,Quarta-Feira,Casa,Jardim Novo Horizonte,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fr3259,Sorocaba,Ddm Sorocaba,2025,4,2025-04-16,01:00:00,Não Informado,Quarta-Feira,Casa,Jardim Itapemirim,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gb0733,Sorocaba,Ddm Sorocaba,2025,4,2025-04-25,05:46:00,Não Informado,Sexta-Feira,Casa,Parque Sao Bento,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gg1841,Sorocaba,Ddm Sorocaba,2025,4,2025-04-25,04:00:00,Não Informado,Sexta-Feira,Casa,Parque São Bento,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gi0042,Sorocaba,Ddm Sorocaba,2025,4,2025-04-20,19:00:00,Não Informado,Domingo,Casas,Caguaçu,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ev9041,Sorocaba,Ddm Sorocaba,2025,4,2025-04-01,15:00:00,Não Informado,Terça-Feira,Whatsapp,Jardim Guaruja,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Ew0591,Sorocaba,Ddm Sorocaba,2025,4,2022-04-03,14:00:00,Não Informado,Domingo,Apartamento,Julio De Mesquita,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Fj0201,Sorocaba,Ddm Sorocaba,2025,1,2009-01-01,,Em Hora Incerta,Quinta-Feira,Casa,Chácaras Reunidas São Jorge,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
